1,39514,
2,40679,
3,40709,
4,41459,
5,41474,
6,41515,
7,42822,
8,42825,
9,42892,
10,42916,
11,43057,
12,43116,
13,43117,
14,43192,
15,43208,
16,43230,
17,43261,
18,43275,
19,43346,
20,43387,
21,43453,
22,43572,
23,43617,
24,43617,
25,43620,
26,43626,
27,43640,
28,43693,
29,43708,
30,43744,
31,43764,
32,43780,
33,43789,
34,43791,
35,43798,
36,43803,
37,43870,
38,43916,
39,43923,
40,43932,
41,43948,
42,43976,
43,43987,
44,44089,
45,44110,
46,44111,
47,44116,
48,44141,
49,44166,
50,44205,
51,44210,
52,44232,
53,44232,
54,44249,
55,44263,
56,44295,
57,44367,
58,44398,
59,44406,
60,44431,
61,44433,
62,44447,
63,44454,
64,44579,
65,44665,
66,44779,
67,44815,
68,45111,
69,45280,
70,45383,
71,45410,
72,45486,
73,45532,
74,45578,
75,45770,
76,45896,
77,45898,
78,45901,
79,45956,
80,45973,
81,46595,
82,46795,
83,46815,
84,47383,
85,47738,
86,47805,
87,48020,
88,48075,
89,48247,
90,48480,
91,48544,
92,48614,
93,48792,
94,48905,
95,48931,
96,49843,
97,49969,
98,50496,
99,50758,
100,50776,
